"Country","LEBF20052","LEBM20052","maxINFM20052","GDPPCUS2005","HXPC2005","PctHXPUB2005","TotFertRate2005","AdolFertRt2005","FtoMPrimaryEnrl2005ONY","PctUrb2005","Sanitation2005ONY","ImprWaterUrb2005ONY","ImpWatRur2005ONY","FLFPR2005","MLFP2005","PopGr2005","PctPop0142005","PctPop65Pl2005"
"Afghanistan","43.46298407","43.57598407","140.4379841","254.3095279","32.5210196","24.2285719","6.973","131.185","59.4613657","22.9","35","66","33","32","84.5","2.5152487","46.8038493","2.2259256"
"Albania","77.87597755","71.47197755","15.45697755","2692.901785","171.8663127","39.2103048","1.896","13.9855",NA,"44.8","96","98","97","49.5","71.4","0.3833636","26.4626296","8.6975769"
"Algeria","79.77455408","77.12155408","40.16955408","3114.915494","111.2299631","75.8340402","2.433","7.939","92.715688","63.3","94","88","81","34.7","79.3","1.4977436","29.6478523","4.5466478"
"Angola","46.34251382","42.49751382","108.3695138","1843.369995","37.9932709","75.7416863","6.219","131.955","81.0766815","54","50","54","39","74.8","89.5","2.9442068","46.2393371","2.4461972"
"Argentina","81.55246343","74.00046343","18.31646343","4729.817378","492.5146011","44.8328429","2.288","58.8","98.5892611","91.4","90","98","80","50.3","78.4","0.9326786","26.213733","10.3387071"
"Armenia","75.29607099","68.63307099","23.40707099","1598.876566","87.835342","32.8920835","1.72","36.801","104.0140502","64.1","89","99","89","58.6","73.3","0.100575","21.936328","12.0057424"
"Australia","82.93644178","78.13644178","4.336441776","34127.99729","3156.980337","66.8858075","1.791","15.81","99.749716","88.2","100","100","100","57","72.2","1.3197896","19.7285008","12.9395732"
"Austria","81.42672125","75.84672125","3.296721253","36792.18994","3847.335938","76.1402086","1.4","13.145","99.7333028","66.5","100","100","100","51.2","67.3","0.7142888","15.9786169","16.2108126"
"Azerbaijan","77.41618106","72.35418106","45.47218106","1578.36733","66.9641519","20.5555322","2.3","33.7245","98.2675124","51.5","45","88","66","59.4","68.4","1.0234719","26.5699898","6.7951077"
"Bahamas, The","77.13411264","71.33911264","12.55211264","19996.48201","1250.39939","49.8179361","2.05","54.353","99.8673079","83.1","100","98",NA,"68","79.1","1.249883","27.4882026","5.9607491"
"Bahrain","82.39553842","79.29853842","15.30953842","18500.15983","693.7196797","68.8752506","2.392","17.7135","99.16656","88.4",NA,"100",NA,"33","85.8","2.2059299","27.4992716","2.607577"
"Bangladesh","64.1584145","62.2224145","49.2734145","393.9131937","11.8140075","34.0734885","2.553","82.9955","104.0895594","25.7","50","85","78","57.2","84.3","1.5769973","33.8372271","3.623242"
"Barbados","79.01447622","73.03147622","10.67247622","11865.69846","825.4656448","64.3518297","1.508","42.65",NA,"38.4","100","100","100","65.4","78.1","0.2589717","18.6652767","10.1140766"
"Belarus","72.45769754","60.25769754","10.05769754","3090.359479","203.4513916","75.8329033","1.21","22.5885","96.7194068","72.2","93","100","99","53.7","65.9","-0.4987542","15.6743634","14.3550854"
"Belgium","81.59005992","75.92005992","3.740059921","35941.33539","3525.732417","75.2274365","1.72","8.0705","99.5588775","97.3","100","100","100","45.7","61.4","0.5505279","17.0549715","17.2587981"
"Belize","72.1167629","68.3537629","13.4477629","3820.68063","142.7594733","58.3126551","3.126","84.952","96.1725614","50.2","87","97","94","44.8","81","3.2036166","37.807172","4.0868884"
"Benin","57.69046315","55.47646315","77.48146315","544.9501392","26.2215242","49.6948713","5.64","114.6515","79.9113591","40","11","82","65","66.3","78.9","3.3197271","43.7319593","3.1432989"
"Bhutan","74.67023391","71.15323391","66.79323391","1238.646241","47.0053425","70.7642429","2.982","50.2305","97.1625137","31","64","99","88","47.7","71.5","2.5439384","34.0990615","4.551435"
"Bolivia","60.65243731","56.40843731","42.38443731","1039.976126","55.1936993","71.7920378","3.732","81.3","99.9321204","64.2","24","95","63","61.1","82.1","1.9009739","38.0932518","4.5339707"
"Bosnia and Herzegovina","71.41862492","66.01762492","7.32862492","2880.031663","262.8374056","54.958852","1.224","18.07","94.1173366","45.7","95","100","97","55.1","68.3","-0.013","16.6173887","13.4397296"
"Botswana","43.43407742","42.85407742","38.94907742","5576.492598","413.1606122","77.4898659","3.014","56.6875","98.6079703","57.3","57","99","90","70.9","80.7","1.2892629","35.1727794","3.4749463"
"Brazil","81.72289119","74.25189119","27.75089119","4741.0293","387.9654815","40.1412586","2.075","80.8","94.1440493","84.2","78","98","81","58.5","82.2","1.1954086","27.5463022","6.1688613"
"Brunei Darussalam","80.08805076","75.41005076","6.58605076","25755.32813","640.0782346","83.2390212","2.172","26.5025","99.5466447","73.5",NA,NA,NA,"58.3","76.2","1.993942","28.8779302","3.1855705"
"Bulgaria","83.48358312","76.23358312","18.44358312","3512.725311","271.5340362","60.730419","1.32","43.5","98.7860491","70.2","100","100","100","44.9","56.5","-0.5283177","13.7311871","17.1678278"
"Burkina Faso","51.65947877","49.23547877","94.20247877","394.803682","27.3162707","59.5393809","6.052","133.8615","80.2895111","18.3","11","91","65","78","90.7","3.3807764","45.821049","2.0735741"
"Burundi","47.87799271","45.20199271","101.3419927","107.8705557","11.8403669","36.2629878","5.026","23.6335","85.7879213","9.5","46","85","71","90.7","88.1","2.9719223","41.4286874","2.8172725"
"Cambodia","64.18723286","60.31423286","75.94723286","453.3471067","28.9414522","24.0253089","3.124","42.701","92.7686926","19.7","24","75","51","74.7","85.7","1.5938124","37.0338606","3.1484379"
"Cameroon","54.95098005","53.75798005","99.05098005","930.6814867","45.092682","24.7682517","4.812","131.999","83.6839077","54.3","47","90","48","52.4","81","2.3080738","41.6911308","3.5532261"
"Canada","80.98971483","76.28971483","3.589714827","35087.89259","3481.683111","70.2686629","1.54","13.8785","99.5249496","80.1","100","100","99","61","72.6","0.9859038","17.6210043","13.1101672"
"Cape Verde","78.43814469","73.10014469","32.93514469","2093.114975","96.9409285","77.2672359","3.038","98.245","94.9464933","57.4","52","86","82","50.1","81.7","1.5642041","39.3307613","4.5488629"
"Central African Republic","52.06602616","48.72902616","119.6330262","329.1606855","14.0457596","43.4457004","5.094","114.5795","68.8380301","38.1","29","89","50","71","86.8","1.7924229","41.5264816","3.879864"
"Chad","47.79455086","45.10955086","121.9705509","529.209915","25.9342557","43.6297186","6.395","177.001","67.472395","25.3","9","66","43","62.6","78.5","3.2580943","46.0006556","2.9320188"
"Chile","82.02291132","75.94191132","8.458911324","7255.694496","444.6485519","56.5977831","1.959","60.6","95.5107693","87.6","96","99","75","38.4","72.9","1.0527754","24.8755131","8.1018841"
"China","78.69936524","75.39136524","25.92836524","1731.25229","76.4870599","40.8178079","1.759","9.7695","103.7901448","40.4","53","98","78","68.5","80.9","0.588125","22.0015788","7.5677268"
"Colombia","65.44404226","58.04304226","7.983042259","3358.49272","211.0342285","84.1650141","2.496","85","97.9907038","73.6","74","99","73","39.3","78.1","1.5316527","30.7837733","5.0744444"
"Comoros","58.62579287","54.30079287","69.94479287","644.5361704","19.1801008","54.4948213","4.106","48.026","88.0951257","27.9","35","91","96","72.2","84.8","2.1114008","38.3823522","3.0691217"
"Congo, Dem. Rep. of","54.06193996","50.89093996","130.64494","120.2425569","7.461283","20.0676224","6.407","215.9985",NA,"32.1","20","82","28","55.7","85.8","2.9891305","47.6630198","2.6524122"
"Congo, Rep.","56.79484903","54.70084903","79.77984903","1781.568848","42.8624103","59.4763787","4.627","120.7355","93.3702484","60.2","30","95","34","62","82.7","2.2375982","41.2124845","3.8291264"
"Costa Rica","76.12456475","71.32456475","5.528564754","4612.574871","343.6782491","68.8806845","2.099","72.25","98.7832768","61.7","95","100","90","43","81","1.6769676","28.3546062","5.835718"
"Cote d'Ivoire","52.11497589","49.30697589","83.81097589","850.2756827","33.2257894","21.8257745","4.861","132.7205","79.2875649","46.8","23","92","67","49.9","82.2","2.1292098","41.3166816","3.5947146"
"Croatia","66.20724613","59.20724613","1","10003.93532","704.2584123","86.0245348","1.41","14.4585","99.7908008","56.5","99","100","97","46.4","61.3","0.0676","15.9069716","17.0022811"
"Cyprus","83.17508053","78.53408053","5.268080533","22427.77463","1351.358571","43.5469689","1.538","7.3845","99.8711894","69.3","100","100","100","52.4","71.1","1.1207332","19.8022005","12.1600769"
"Czech Republic","81.08859005","74.75859005","5.338590047","12167.90381","882.2777655","87.3102672","1.28","11.567","98.7063746","73.5","98","100","100","50.6","68.6","0.193743","14.7488337","14.1496901"
"Denmark","84.90311693","80.36311693","8.803116929","47576.91708","4513.109306","83.7281294","1.8","6.313","99.8369944","85.9","100","100","100","60.5","71.4","0.2736581","18.7690899","15.1299304"
"Djibouti","57.11773348","54.26573348","80.02973348","880.6167378","60.0038385","72.5086761","4.222","25.946","81.684675","86.1","58","95","55","59.4","79.8","1.7667011","38.4408776","2.9716501"
"Dominican Republic","78.6616807","73.4986807","32.9006807","3566.816036","192.8050772","31.5803494","2.752","109.15","95.0815868","66.8","81","89","83","48.9","81.4","1.485483","33.0114664","5.563489"
"Ecuador","80.98794964","75.03894964","26.75194964","2846.845709","147.1419836","40.0433135","2.691","83.65","99.7087393","63.6","90","96","86","44.6","77.8","1.1019181","32.6139002","5.8914571"
"Egypt, Arab Rep.","65.21080303","61.73180303","19.08780303","1162.418662","72.8822146","37.5575372","3.013","43.75","94.1376346","42.6","93","100","96","22.8","73.3","1.8788058","33.3415787","4.4773164"
"El Salvador","70.23152226","60.69252226","14.18252226","2817.524899","200.3274695","52.4288539","2.431","87.3","97.5373006","59.8","85","94","73","44.9","78.2","0.3536115","35.0964583","6.5900756"
"Equatorial Guinea","46.03070854","43.48170854","89.45870854","13497.37832","185.5403519","71.7878821","5.503","125.7885","95.3176107","38.9","51","45","42","37.1","92.4","2.7207817","42.2490215","3.1852459"
"Eritrea","56.41982317","51.68782317","42.18882317","261.8831377","7.9144719","46.3353697","4.939","73.799","80.4907143","19.4","13","74","57","59.2","82.9","3.7952498","41.8599135","2.367854"
"Estonia","81.84822606","70.97822606","9.408226057","10328.5708","516.5060806","76.9251303","1.5","21.8445","97.5246424","69.4","95","99","97","53.1","65.2","-0.2150956","15.1723698","16.6679413"
"Ethiopia","56.31258813","53.38158813","77.97658813","164.809138","6.7638413","60.9080962","5.621","105.579","82.5603407","16.1","10","95","24","78.4","91","2.5979527","44.8157946","3.0680316"
"Fiji","75.43488905","70.97688905","20.53288905","3630.843005","148.387078","70.9212817","2.862","36.6365","97.9552543","50.8","71",NA,"51","39.1","78.6","0.625225","32.8856126","4.1802025"
"Finland","74.44319012","67.52319012","1","37289.84859","3163.875661","73.4740722","1.8","12.254","99.3375944","62.4","100","100","100","56.7","64.8","0.3428763","17.3839855","15.9511085"
"France","79.27818004","72.26818004","1","34227.97442","3926.682744","79.2570089","1.92","7.454","98.8154259","76.7","100","100","100","50.2","62.6","0.5796968","18.4275726","16.4636172"
"Gabon","56.84181865","53.57981865","51.82181865","6328.918657","289.7774656","67.2557109","3.544","98.482",NA,"83.6","33","95","43","67.4","82.1","1.9564551","38.6109993","4.429208"
"Gambia, The","55.6883889","52.5003889","83.5393889","302.0908797","18.4847414","56.9898268","5.285","97.875","102.4034998","53.9","65","94","83","70.7","85.8","2.9849985","42.8494016","2.781793"
"Georgia","73.49343","66.50543","26.53443","1469.973352","123.3590395","19.4933585","1.567","46.5625","98.1559013","52.5","95","99","92","55.4","73.3","-1.201942","18.427754","14.4414333"
"Germany","77.33695971","72.01695971","1","33811.20504","3628.177067","76.9649191","1.34","9.056","99.9426814","73.4","100","100","100","51.4","66.8","-0.0568","14.3216295","18.8614967"
"Ghana","55.8731888","53.9771888","53.7681888","489.1747119","35.3960678","42.1099786","4.421","70.131","96.5227201","47.8","11","89","68","73.4","75.6","2.214191","39.6566935","3.4939089"
"Greece","73.75702523","68.94702523","1","21880.08461","2099.693804","60.1115162","1.33","9.415","99.6309529","60.4","98","100","99","42.5","65","0.3812192","14.3534482","17.9931269"
"Grenada","77.71708835","74.74608835","15.63108835","5403.524311","318.699187","61.9047619","2.343","46.779","97.4347256","30.6","97","97",NA,"52.1","77.4","1.583339","29.3749147","6.5480604"
"Guatemala","73.53289897","66.50989897","35.48489897","2140.98643","129.5072032","36.1971495","4.379","111.3","92.3353412","47.2","78","97","88","44.9","87.4","2.4919287","43.1514481","4.2892859"
"Guinea","51.40347554","47.45347554","90.88647554","318.9017614","19.8722014","12.8201719","5.63","160.1415","81.7431437","33","17","89","57","79","89.5","1.9739756","43.3925135","3.0819559"
"Guinea-Bissau","54.31685012","51.16485012","126.8668501","204.951031","13.3238988","26.0687156","5.798","129.163",NA,"29.6","20","82","48","59.6","83.7","2.3835668","42.5178559","3.3979435"
"Guyana","60.58142692","54.57442692","24.91442692","1079.921227","74.8255414","87.0098039","2.382","66.605","98.8989203","28.2","80","96","90","45.3","81.8","0.1546033","31.0026786","5.673484"
"Haiti","68.67679079","64.39979079","76.91479079","441.4715679","19.4562161","21.2879944","3.753","49.45",NA,"42.7","19","70","53","57.3","82.3","1.6381605","38.0061362","4.1944673"
"Honduras","76.29483044","71.45083044","30.39483044","1415.594991","82.558014","64.8147806","3.498","97.8","99.4868553","46.5","66","95","74","40.5","83.9","2.0042565","39.8158426","4.1445351"
"Hungary","75.76020984","67.28020984","4.990209836","10924.44699","909.2734277","72.3007595","1.31","21.798","97.9910609","66.3","100","100","100","42.9","58.3","-0.1990275","15.5403673","15.6430017"
"Iceland","86.1469514","82.2269514","4.746951399","54934.61445","5195.630048","81.3639844","2.05","16.1615","97.3521009","92.2","100","100","100","72.7","82.9","1.580701","22.1000771","11.7261575"
"India","63.28404421","60.60604421","56.33504421","764.853213","30.403292","23.8438582","2.93","73.7545","95.8965276","28.7","28","95","81","32.4","81.7","1.3670615","33.0896605","4.5894836"
"Indonesia","60.99752179","57.16452179","23.07652179","1304.084183","25.4358217","45.82927","2.283","43.6295","96.5601734","48.1","49","90","70","50.6","86.1","1.2703164","28.3932868","5.5203138"
"Iran, Islamic Rep. of","74.00078312","71.44578312","32.83578312","2779.318026","179.6968004","49.0544199","1.949","21.2735","122.498403","66.9",NA,"98",NA,"30.8","74.2","1.484653","26.404646","5.0250156"
"Ireland","77.72703844","73.30703844","1","48466.1751","3574.32269","77.4722951","1.86","17.6305","99.5836575","60.5","99","100","100","52","72.7","2.2036613","20.4388371","10.9910124"
"Israel","77.05880895","73.05880895","1","19371.56471","1596.027874","57.9893664","2.84","15.0515","101.0334806","91.6","100","100","100","50.9","62.2","1.7628977","27.9160909","10.0972147"
"Italy","69.02142516","63.40142516","1","30332.42509","2746.817752","76.2252542","1.32","5.9615","99.0781362","67.6",NA,"100","100","37.7","61.1","0.739413","14.1918269","19.6481121"
"Jamaica","75.29183741","68.38083741","26.70783741","4207.563937","171.4047041","48.8125797","2.462","81.1645","96.8624387","52.7","83","98","88","56.7","75.1","0.4651611","31.4248828","7.6952662"
"Japan","92.6962287","85.7362287","10.0062287","35627.24664","2907.853884","82.6882887","1.26","5.265","99.9368409","66","100","100","100","48.4","73.4","0.00939","13.789651","19.9194025"
"Jordan","76.19983441","72.65183441","25.29683441","2333.665717","213.4070742","53.756767","3.6","25.856","100.5805753","78.3","98","98","91","22.1","74.1","2.2708073","37.1984025","3.4664636"
"Kazakhstan","70.51002769","59.01002769","29.41002769","3771.286178","148.4362443","63.8663368","2.22","29.541","100.1252925","57.1","97","99","91","64.5","75.1","0.8886","24.2695014","7.906469"
"Kenya","62.93666571","62.03566571","69.36866571","523.1603861","23.1541959","42.6734443","5.005","103.872","96.0520053","20.7","30","85","48","75.8","87.8","2.6205865","42.7600005","2.7411758"
"Korea, Rep. of","74.62447146","67.87447146","1","17550.85389","998.5285482","52.061106","1.08","3.8355","96.6132028","80.8","100","99","83","50","73.3","0.2058705","19.0562588","9.3116742"
"Kuwait","76.08430761","72.20630761","5.630307608","31867.34935","657.8341983","75.3668524","2.222","13.691","98.0236507","98.3","100","99","99","45.2","83.4","3.0397746","23.7583153","1.7624198"
"Kyrgyz Republic","71.54407423","63.84407423","36.64407423","478.2494706","28.369725","39.5373634","2.5","31.8905","98.9966267","35.8","93","99","80","53.8","76","0.9905611","31.2647629","5.8531354"
"Lao P.D.R.","66.4469922","63.8389922","54.4499922","463.129886","20.8421367","17.3008655","3.668","43.334","88.1300466","27.4","43","74","47","78.5","79.7","1.6697817","40.1941366","3.6443601"
